target,program,condition_used,ontarget_effect_size,ontarget_significant,self_zscore,n_expected_readouts,n_readouts_down,expected_direction_pass,z[IFNG],z[CXCR3],n_total_de_genes,z[IL4],z[IL5],z[IL13],z[IL23R],z[CCR6],z[IL17F],z[IL2RA],z[CTLA4],z[IKZF2],z[CXCR5],z[IL2]
TBX21,Th1,Stim48hr,-9.218963761500984,True,-9.218963761500985,2,2,True,-7.131235969237487,-10.38520213818342,403,,,,,,,,,,,
GATA3,Th2,Stim48hr,-14.948753114565852,True,-14.948753114565852,3,3,True,,,1253,-3.5812165834128176,-4.697767937273235,-7.651835685661782,,,,,,,,
RORC,Th17,Stim48hr,-0.4176938179447328,False,-0.4176938179447328,3,3,True,,,0,,,,-0.11703934312925833,-0.4467353298470921,-0.1597670994691474,,,,,
FOXP3,Treg,Stim48hr,-9.991630052313408,True,-9.991630052313408,3,1,False,,,4,,,,,,,0.04280199729154196,-1.9358208303896094,0.5664874535518494,,
BCL6,Tfh,Stim48hr,-3.898610196277424,True,-3.898610196277424,1,0,False,,,68,,,,,,,,,,0.31528310859489167,
STAT5A,IL2-STAT5,Stim48hr,-11.875015398301178,True,-11.875015398301178,1,1,True,,,261,,,,,,,-0.9513283445746845,,,,
STAT5B,IL2-STAT5,Stim48hr,-8.918683919969254,True,-8.918683919969254,1,1,True,,,1060,,,,,,,-9.533771426444595,,,,
IL2RA,IL2R,Stim48hr,-11.327331368218507,True,-11.327331368218509,1,1,True,,,25,,,,,,,-11.327331368218509,,,,
LCK,TCR,Stim48hr,-9.689430654295728,True,-9.689430654295728,2,2,True,-4.234334450399247,,916,,,,,,,,,,,-2.3071738386167113
ZAP70,TCR,Stim48hr,-3.329774443322945,True,-3.3297744433229455,2,2,True,-2.8368949936148575,,2486,,,,,,,,,,,-0.4949650404095656
CD28,costim,Stim48hr,-18.47592015820881,True,-18.47592015820881,1,1,True,,,1798,,,,,,,,,,,-2.2469464689281904
PPP3CA,calcineurin,Stim48hr,-10.279546230415232,True,-10.279546230415233,2,2,True,-2.2501274273583194,,1,,,,,,,,,,,-2.223370097558796
NFATC1,NFAT,Stim48hr,-1.049527462808578,False,-1.049527462808578,2,2,True,-1.991117325656256,,0,,,,,,,,,,,-1.8404932722949272
NFATC2,NFAT,Stim48hr,1.6205512570413596,False,1.6205512570413596,2,0,False,2.5684433375695006,,27,,,,,,,,,,,1.0392293860297461
IRF4,effector,Stim48hr,-1.5147976991650245,False,-1.5147976991650245,2,2,True,-0.6553021933695697,,498,,,,,,,,,,,-1.9940031631917086
BATF,effector,Stim48hr,-11.062747177024624,True,-11.062747177024624,2,2,True,-3.369814596867975,,587,,,,,,,,,,,-2.8658252104757582
