gene,axis,donor,n_kd,rel_knockdown,concordance_r
LAT,flagship,D1,65,0.9159,0.6994
LAT,flagship,D2,277,0.8744,0.7401
LAT,flagship,D3,51,0.742,0.5506
LAT,flagship,D4,76,0.8558,0.6922
PLCG1,flagship,D1,154,0.8596,0.4883
PLCG1,flagship,D2,22,0.8725,0.5152
PLCG1,flagship,D3,135,0.913,0.4082
PLCG1,flagship,D4,110,0.882,0.426
CD247,flagship,D1,107,0.7934,0.504
CD247,flagship,D2,164,0.751,0.6169
CD247,flagship,D3,51,0.3814,0.465
CD247,flagship,D4,90,0.9364,0.4387
CD3E,flagship,D1,108,0.9258,0.855
CD3E,flagship,D2,15,0.9846,0.8471
CD3E,flagship,D3,20,0.9934,0.84
CD3E,flagship,D4,91,0.9183,0.8463
ZAP70,flagship,D1,82,0.9156,0.764
ZAP70,flagship,D2,43,0.9005,0.8116
ZAP70,flagship,D3,2,1.0,0.7123
ZAP70,flagship,D4,17,0.9121,0.7696
VAV1,flagship,D1,32,1.0,0.6375
VAV1,flagship,D2,353,0.9366,0.6888
VAV1,flagship,D3,13,1.0,0.4543
VAV1,flagship,D4,106,0.8342,0.6516
SMARCE1,flagship,D1,69,0.8903,0.7473
SMARCE1,flagship,D2,35,0.9679,0.7447
SMARCE1,flagship,D3,26,0.7714,0.7378
SMARCE1,flagship,D4,12,0.7566,0.6691
