gene,axis_group,best_cond,n_donors_powered,kd_mean,kd_min,kd_pass,conc_mean,conc_min,conc_cv,conc_pass,validated,ratio_8hr_over_48hr,stim8_dominant
SGF29,SAGA/Mediator,Stim8hr,4,0.936,0.894,4/4,0.692,0.66,0.038,4/4,True,1.332,False
MED24,SAGA/Mediator,Rest,4,0.957,0.937,4/4,0.796,0.774,0.022,4/4,True,2.15,True
MED12,SAGA/Mediator,Stim8hr,4,0.854,0.653,4/4,0.76,0.715,0.041,4/4,True,1.885,True
TADA2B,SAGA/Mediator,Stim48hr,4,0.918,0.87,4/4,0.739,0.68,0.054,4/4,True,1.462,False
NSD1,remodeler,Stim48hr,3,0.923,0.895,3/3,0.653,0.607,0.07,3/3,True,1.494,False
CHD4,remodeler,Stim8hr,4,0.519,0.375,4/4,0.381,0.323,0.136,4/4,True,2.104,True
SMARCB1,remodeler,Rest,4,0.482,0.254,4/4,0.587,0.555,0.043,4/4,True,1.93,True
STAT6,TF/kinase,Stim48hr,4,0.823,0.67,4/4,0.566,0.54,0.047,4/4,True,1.333,False
TRIP12,TF/kinase,Stim8hr,4,0.835,0.628,4/4,0.696,0.659,0.044,4/4,True,2.104,True
ARNT,TF/kinase,Stim8hr,4,0.893,0.705,4/4,0.691,0.684,0.012,4/4,True,1.14,False
SEL1L,TF/kinase,Stim8hr,3,0.94,0.907,3/3,0.42,0.371,0.108,3/3,True,1.827,True
SIK3,TF/kinase,Stim48hr,3,0.867,0.769,3/3,0.523,0.498,0.05,3/3,True,1.849,True
