gene,mean_abs_delta_Stim8hr,n_kd_Stim8hr,mean_abs_delta_Stim48hr,n_kd_Stim48hr,ratio_8hr_over_48hr,stim8_dominant,stim48_dominant,axis,axis_group
LAT,0.5816,76,0.2973,55,1.956,True,False,flagship,flagship-TCR
PLCG1,0.6457,110,0.3019,62,2.139,True,False,flagship,flagship-TCR
CD247,0.5664,90,0.2417,59,2.343,True,False,flagship,flagship-TCR
CD3E,0.8155,91,0.2992,55,2.725,True,False,flagship,flagship-TCR
ZAP70,0.8117,17,0.3618,8,2.243,True,False,flagship,flagship-TCR
VAV1,0.3971,106,0.2371,77,1.675,True,False,flagship,flagship-TCR
SMARCE1,0.2842,12,0.3014,11,0.943,False,False,flagship,flagship-TCR
SGF29,0.2011,289,0.1509,288,1.332,False,False,novel,SAGA/Mediator
MED24,0.3044,200,0.1416,225,2.15,True,False,novel,SAGA/Mediator
MED12,0.4625,65,0.2453,59,1.885,True,False,novel,SAGA/Mediator
TADA2B,0.2424,547,0.1658,524,1.462,False,False,novel,SAGA/Mediator
NSD1,0.1717,114,0.1149,134,1.494,False,False,novel,remodeler
CHD4,0.2302,70,0.1094,57,2.104,True,False,novel,remodeler
SMARCB1,0.1833,34,0.095,38,1.93,True,False,novel,remodeler
STAT6,0.1333,149,0.1,162,1.333,False,False,novel,TF/kinase
TRIP12,0.1322,183,0.0629,183,2.104,True,False,novel,TF/kinase
ARNT,0.2353,336,0.2064,335,1.14,False,False,novel,TF/kinase
SEL1L,0.2891,41,0.1583,47,1.827,True,False,novel,TF/kinase
SIK3,0.2143,159,0.116,143,1.849,True,False,novel,TF/kinase
