gene,naive_memory,effector,activation,treg,cytokine,exhaustion
LAT,0.3045,-0.2045,-0.5598,-0.4005,-0.4893,-0.1227
PLCG1,0.0464,-0.2895,-0.5595,-0.4451,-0.4288,-0.1999
CD247,0.2542,-0.5687,-0.4513,-0.3153,-0.4077,-0.1897
CD3E,0.3447,-0.2158,-0.6086,-0.4852,-0.4919,-0.1747
ZAP70,0.2829,-0.7394,-0.6166,-0.5503,-0.5195,-0.26
VAV1,0.1565,-0.3304,-0.3152,-0.1893,-0.3964,-0.1206
SMARCE1,0.1441,-0.706,-0.1346,0.0687,-0.2321,-0.0344
SGF29,-0.0439,-0.0871,-0.0649,0.0079,-0.0274,-0.1008
MED24,-0.009,-0.582,0.0704,0.0984,-0.3467,-0.1257
MED12,0.0508,-0.4188,0.0753,-0.0127,-0.1941,-0.0159
TADA2B,-0.0926,-0.1432,-0.109,-0.0446,-0.0121,-0.1255
NSD1,0.2505,-0.3862,-0.0621,-0.0631,-0.0793,-0.0184
CHD4,0.0404,0.1215,0.3325,0.161,0.2878,0.2334
SMARCB1,0.1767,-0.3821,-0.1047,-0.1091,-0.311,-0.1541
STAT6,0.0446,-0.0118,0.0627,0.0268,0.0352,-0.0168
TRIP12,0.0928,-0.0646,0.1184,-0.0597,0.0037,0.0337
ARNT,0.057,0.1203,-0.0103,-0.1021,0.1571,0.0222
SEL1L,-0.0081,-0.3119,-0.1191,-0.0369,-0.2809,-0.1629
SIK3,0.1287,0.1933,0.1698,0.1993,0.0223,0.0975
