gene,axis,n_guides_tested,status,n_g1,n_g2,d1_vs_ntc,d2_vs_ntc,same_direction,effect_ratio,ks_stat,ks_p,g1_sig,g2_sig,guide_concordance
LAT,TCR-proximal,2,tested,392.0,77.0,1.4169,1.125,True,0.794,0.2621,0.0002181422616426808,True,True,
PLCG1,TCR-proximal,2,tested,292.0,129.0,1.1128,1.5035,True,0.7401,0.2531,1.536961062658664e-05,True,True,
CD247,TCR-proximal,2,tested,259.0,153.0,1.3471,0.2979,True,0.2211,0.3934,7.92741353706297e-14,True,True,
CD3E,TCR-proximal,1,single_guide_or_low,,,,,,,,,,,
ZAP70,TCR-proximal,1,single_guide_or_low,,,,,,,,,,,
VAV1,TCR-proximal,2,tested,399.0,105.0,1.1855,0.761,True,0.6419,0.2802,2.992351369469215e-06,True,True,
SMARCE1,SMARCE1,2,tested,76.0,66.0,0.8361,0.9841,True,0.8496,0.2424,0.025168598893680557,True,True,
SGF29,chromatin/TF,2,tested,637.0,425.0,0.3951,0.4218,True,0.9366,0.0773,0.08840945542685304,True,True,
MED24,chromatin/TF,2,tested,409.0,291.0,0.4915,0.54,True,0.9101,0.1349,0.0036160336208580497,True,True,
MED12,chromatin/TF,2,tested,161.0,58.0,0.9468,0.8922,True,0.9423,0.1077,0.65731863524523,True,True,
TADA2B,chromatin/TF,2,tested,823.0,666.0,0.5586,0.5415,True,0.9695,0.0591,0.14546755032231273,True,True,
NSD1,chromatin/TF,2,tested,680.0,85.0,0.4092,0.3911,True,0.9558,0.0956,0.47289397216596013,True,True,
CHD4,chromatin/TF,2,tested,149.0,97.0,0.2991,0.5413,True,0.5526,0.2707,0.00026829709959117246,True,True,
SMARCB1,chromatin/TF,2,tested,212.0,46.0,0.5497,0.2546,True,0.4632,0.6112,7.075930983513572e-14,True,True,
STAT6,chromatin/TF,2,tested,479.0,133.0,0.2636,0.268,True,0.9836,0.069,0.6745060875289678,True,True,
TRIP12,chromatin/TF,2,tested,995.0,482.0,0.2213,0.2517,True,0.879,0.1206,0.000139538905293537,True,True,
ARNT,chromatin/TF,2,tested,573.0,271.0,0.4465,0.4664,True,0.9572,0.0832,0.14628176900944398,True,True,
SEL1L,chromatin/TF,2,tested,70.0,44.0,0.8268,0.7364,True,0.8907,0.15,0.5169199177349153,True,True,
SIK3,chromatin/TF,2,tested,207.0,123.0,0.4234,0.333,True,0.7864,0.2235,0.0007128203246974639,True,True,
