leiden,n,prog_naive_memory,prog_effector,prog_activation,prog_treg,prog_cytokine,prog_exhaustion,prog_tfh,ntc_frac
0,8701,-0.021,0.2988,0.3489,0.5644,0.0019,-0.0816,0.0298,0.8771
1,4694,0.0535,0.147,0.3795,0.4724,-0.1128,-0.1846,0.0191,0.859
10,9529,-0.0884,0.3449,0.4869,0.3342,0.1604,-0.1397,0.03,0.8348
11,5590,-0.117,0.4346,0.5265,0.3782,0.1139,-0.1276,0.0648,0.8474
12,410,0.1968,0.1174,0.0257,-0.1562,-0.3407,-0.3149,-0.2054,0.1683
13,573,-0.0253,0.2647,0.2937,0.3873,0.1207,-0.1281,0.02,0.733
14,269,0.0018,0.9581,0.1603,0.4815,-0.151,0.1676,-0.1996,0.7621
2,5078,-0.0575,0.983,0.4398,0.3969,0.6119,-0.0335,0.1968,0.8761
3,3788,-0.0121,0.5137,0.2283,0.497,0.1805,0.0197,-0.0447,0.8572
4,3428,-0.1565,0.3347,0.232,0.511,0.1733,-0.0824,-0.0605,0.8967
5,7561,-0.0738,0.3139,0.3729,0.3837,0.0847,-0.1801,0.0384,0.8775
6,1311,0.2814,0.1641,-0.3334,-0.1821,-0.3033,-0.3021,-0.179,0.1411
7,2567,-0.1444,0.8102,0.3189,0.2509,0.6449,-0.1086,0.1153,0.8228
8,1325,-0.0725,0.4366,0.2848,0.4676,0.1235,-0.0614,-0.0724,0.2091
9,3618,-0.1859,0.3952,0.1163,0.2193,0.1561,-0.1705,-0.0927,0.8212
