gene,axis,n_kd,n_used,well_powered,n_module_genes,mean_abs_r_ntc,mean_abs_r_kd,delta_connectivity,perm_p,struct_preserved_r,perm_padj,sig_rewire
LAT,TCR-proximal,469,140,True,29,0.1048,0.2175,0.1127,0.0,0.3454,0.0,True
PLCG1,TCR-proximal,421,140,True,30,0.1363,0.3395,0.2032,0.0,0.2172,0.0,True
CD247,TCR-proximal,412,140,True,30,0.1263,0.4348,0.3086,0.0,0.185,0.0,True
CD3E,TCR-proximal,234,140,True,29,0.1132,0.1449,0.0317,0.27,0.4475,0.4287179487179487,False
ZAP70,TCR-proximal,144,140,True,30,0.11,0.1371,0.027,0.2633333333333333,0.0901,0.4287179487179487,False
VAV1,TCR-proximal,504,140,True,29,0.1416,0.2035,0.0619,0.02,0.5564,0.0475,True
SMARCE1,SMARCE1,142,140,True,29,0.0784,0.1166,0.0382,0.08,0.1227,0.1688888888888889,False
SGF29,chromatin/TF,1062,140,True,29,0.07,0.0787,0.0086,0.2866666666666667,0.0522,0.4287179487179487,False
MED24,chromatin/TF,700,140,True,29,0.0927,0.0976,0.0049,0.7933333333333333,0.3185,0.7933333333333333,False
MED12,chromatin/TF,219,140,True,30,0.0991,0.1677,0.0686,0.0,0.3295,0.0,True
TADA2B,chromatin/TF,1489,140,True,29,0.0731,0.0867,0.0135,0.29333333333333333,0.104,0.4287179487179487,False
NSD1,chromatin/TF,765,140,True,29,0.0805,0.0762,-0.0042,0.68,0.1799,0.76,False
CHD4,chromatin/TF,246,140,True,29,0.0714,0.146,0.0746,0.006666666666666667,0.1618,0.021111111111111115,True
SMARCB1,chromatin/TF,258,140,True,29,0.0763,0.1237,0.0474,0.01,0.1675,0.027142857142857146,True
STAT6,chromatin/TF,612,140,True,29,0.1126,0.0978,-0.0148,0.32,0.3242,0.43428571428571433,False
TRIP12,chromatin/TF,1477,140,True,29,0.085,0.0819,-0.0031,0.75,0.1918,0.7916666666666667,False
ARNT,chromatin/TF,844,140,True,29,0.0983,0.1173,0.0191,0.4166666666666667,0.1975,0.49479166666666674,False
SEL1L,chromatin/TF,114,114,False,30,0.129,0.2722,0.1432,0.0,0.3271,0.0,False
SIK3,chromatin/TF,330,140,True,29,0.0813,0.0924,0.0111,0.36333333333333334,0.2505,0.4602222222222222,False
