gene,axis,n_kd,spearman_baseAct_R,p,R_lowAct,R_highAct,delta_hi_lo
LAT,TCR-proximal,471,-0.166,0.0003071483115366738,0.238,0.19,-0.048
PLCG1,TCR-proximal,437,-0.215,5.639290482820656e-06,0.236,0.144,-0.092
CD247,TCR-proximal,318,-0.289,1.520169160278702e-07,0.245,0.151,-0.094
CD3E,TCR-proximal,215,-0.053,0.43778382363593094,0.223,0.203,-0.02
ZAP70,TCR-proximal,141,-0.336,4.712947934926536e-05,0.481,0.344,-0.136
VAV1,TCR-proximal,414,0.449,5.887078293546811e-22,0.06,0.389,0.329
SMARCE1,chromatin (SMARCE1),149,0.092,0.26590653413896687,0.894,0.968,0.075
SGF29,chromatin/TF,1087,0.268,2.13610850567983e-19,0.331,0.446,0.115
MED24,chromatin/TF,755,-0.2,3.020388690710391e-08,0.336,0.27,-0.066
MED12,chromatin/TF,229,0.179,0.0066243874573329925,0.706,0.834,0.129
TADA2B,chromatin/TF,1534,0.217,9.632711698812062e-18,0.433,0.53,0.097
NSD1,chromatin/TF,862,0.001,0.9755209225036318,0.32,0.323,0.003
CHD4,chromatin/TF,292,0.429,1.58023469134515e-14,0.274,0.68,0.406
SMARCB1,chromatin/TF,278,-0.042,0.48154514845612784,0.691,0.647,-0.044
STAT6,chromatin/TF,644,0.113,0.004084551567113502,0.137,0.173,0.036
TRIP12,chromatin/TF,1816,-0.213,5.1429564260271445e-20,0.238,0.161,-0.077
ARNT,chromatin/TF,1001,0.394,1.866322660602124e-38,0.352,0.511,0.159
SEL1L,chromatin/TF,115,0.056,0.549968329932748,0.972,1.001,0.029
SIK3,chromatin/TF,344,0.174,0.001158882003650167,0.391,0.476,0.084
